P03P04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
045-03-G\LM_EXBN\14.5DFX_Jet        4.54e-09   3600.0   4.54e-09
045-03-G\LM_EXBN\14.5DFO_Jet        2.86e-09   3600.0   7.40e-09
045-03-G\LM_EXBN\7.7DFX_Jet         4.86e-08   3600.0   5.60e-08
045-03-G\LM_EXBN\7.7DFO_Jet         3.06e-08   3600.0   8.66e-08
045-03-G\LM_EXBN\2.9FFX_Jet         5.02e-08   3600.0   1.37e-07
045-03-G\LM_EXBN\2.9FFO_Jet         3.16e-08   3600.0   1.68e-07
045-02-01-G\LM_EXBX\14.5DFX_Jet     5.10e-09   3600.0   1.73e-07
045-02-01-G\LM_EXBX\14.5DFO_Jet     2.91e-11   3600.0   1.74e-07
045-02-01-G\LM_EXBX\7.7DFX_Jet      5.46e-08   3600.0   2.28e-07
045-02-01-G\LM_EXBX\7.7DFO_Jet      3.11e-10   3600.0   2.28e-07
045-02-01-G\LM_EXBX\2.9FFX_Jet      5.63e-08   3600.0   2.85e-07
045-02-01-G\LM_EXBX\2.9FFO_Jet      3.21e-10   3600.0   2.85e-07
023-01-02-L\LM_EXBN\14.5DFX_Jet     2.22e-08   3600.0   3.07e-07
023-01-02-L\LM_EXBN\14.5DFO_Jet     1.99e-09   3600.0   3.09e-07
023-01-02-L\LM_EXBN\7.7DFX_Jet      2.37e-07   3600.0   5.46e-07
023-01-02-L\LM_EXBN\7.7DFO_Jet      2.14e-08   3600.0   5.68e-07
023-01-02-L\LM_EXBN\2.9FFX_Jet      2.45e-07   3600.0   8.13e-07
023-01-02-L\LM_EXBN\2.9FFO_Jet      2.20e-08   3600.0   8.35e-07
023-01-01-G-DB\ME_EXBX\14.5DFX_Jet  2.20e-09   3600.0   8.37e-07
023-01-01-G-DB\ME_EXBX\14.5DFO_Jet  1.04e-11   3600.0   8.37e-07
023-01-01-G-DB\ME_EXBX\7.7DFX_Jet   2.35e-08   3600.0   8.60e-07
023-01-01-G-DB\ME_EXBX\7.7DFO_Jet   1.12e-10   3600.0   8.61e-07
023-01-01-G-DB\ME_EXBX\2.9FFX_Jet   2.43e-08   3600.0   8.85e-07
023-01-01-G-DB\ME_EXBX\2.9FFO_Jet   1.15e-10   3600.0   8.85e-07
023-01-01-G-DB\ME_EXBO\14.5DFO_Jet  2.08e-09   3600.0   8.87e-07
023-01-01-G-DB\ME_EXBO\7.7DFO_Jet   2.22e-08   3600.0   9.09e-07
023-01-01-G-DB\ME_EXBO\2.9FFO_Jet   2.30e-08   3600.0   9.32e-07
023-01-01-G-DA\ME_EXBX\14.5DFX_Jet  2.20e-09   3600.0   9.34e-07
023-01-01-G-DA\ME_EXBX\14.5DFO_Jet  1.04e-11   3600.0   9.34e-07
023-01-01-G-DA\ME_EXBX\7.7DFX_Jet   2.35e-08   3600.0   9.58e-07
023-01-01-G-DA\ME_EXBX\7.7DFO_Jet   1.12e-10   3600.0   9.58e-07
023-01-01-G-DA\ME_EXBX\2.9FFX_Jet   2.43e-08   3600.0   9.82e-07
023-01-01-G-DA\ME_EXBX\2.9FFO_Jet   1.15e-10   3600.0   9.82e-07
023-01-01-G-DA\ME_EXBO\14.5DFO_Jet  2.08e-09   3600.0   9.85e-07
023-01-01-G-DA\ME_EXBO\7.7DFO_Jet   2.22e-08   3600.0   1.01e-06
023-01-01-G-DA\ME_EXBO\2.9FFO_Jet   2.30e-08   3600.0   1.03e-06
023-01-01-G-DB\LM_EXBX\14.5DFX_Jet  1.01e-09   3412.4   1.03e-06
023-01-01-G-DB\LM_EXBX\14.5DFO_Jet  4.79e-12   3412.4   1.03e-06
023-01-01-G-DA\LM_EXBX\14.5DFX_Jet  1.01e-09   3412.4   1.03e-06
023-01-01-G-DA\LM_EXBX\14.5DFO_Jet  4.79e-12   3412.4   1.03e-06
023-01-01-G-DB\LM_EXBX\7.7DFX_Jet   1.08e-08   3319.1   1.04e-06
023-01-01-G-DB\LM_EXBX\7.7DFO_Jet   5.13e-11   3319.1   1.04e-06
023-01-01-G-DA\LM_EXBX\7.7DFX_Jet   1.08e-08   3319.1   1.05e-06
023-01-01-G-DA\LM_EXBX\7.7DFO_Jet   5.13e-11   3319.1   1.05e-06
023-01-01-G-DB\LM_EXBO\14.5DFO_Jet  9.53e-10   3179.3   1.05e-06
023-01-01-G-DA\LM_EXBO\14.5DFO_Jet  9.53e-10   3179.3   1.06e-06
023-01-01-G-DB\LM_EXBO\7.7DFO_Jet   1.02e-08   3090.3   1.07e-06
023-01-01-G-DA\LM_EXBO\7.7DFO_Jet   1.02e-08   3090.3   1.08e-06
023-01-01-G-DB\LM_EXBX\2.9FFX_Jet   1.11e-08   3013.1   1.09e-06
023-01-01-G-DB\LM_EXBX\2.9FFO_Jet   5.29e-11   3013.1   1.09e-06
023-01-01-G-DA\LM_EXBX\2.9FFX_Jet   1.11e-08   3013.1   1.10e-06
023-01-01-G-DA\LM_EXBX\2.9FFO_Jet   5.29e-11   3013.1   1.10e-06
023-01-01-G-DB\LM_EXBO\2.9FFO_Jet   1.05e-08   2806.7   1.11e-06
023-01-01-G-DA\LM_EXBO\2.9FFO_Jet   1.05e-08   2806.7   1.12e-06
