P04S03 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
025-02-01-G\ME_EXBX\14.5DFX_Jet     3.19e-09   2181.6   3.19e-09
025-02-01-G\ME_EXBX\14.5DFO_Jet     9.53e-11   2181.6   3.29e-09
025-02-01-G\ME_EXBX\7.7DFX_Jet      3.42e-08   1752.4   3.75e-08
025-02-01-G\ME_EXBX\7.7DFO_Jet      1.02e-09   1752.4   3.85e-08
025-01-01-G\ME_EXBX\14.5DFX_Jet     1.66e-09   1729.1   4.01e-08
025-01-01-G\ME_EXBX\14.5DFO_Jet     3.29e-11   1729.1   4.02e-08
024-02-G-DC\ME_EXBX\14.5DFX_Jet     6.90e-10   1379.7   4.09e-08
024-02-G-DC\ME_EXBX\14.5DFO_Jet     1.37e-11   1379.7   4.09e-08
024-02-G-DC\ME_EXBO\14.5DFO_Jet     2.73e-09   1379.7   4.36e-08
024-02-G-DB\ME_EXBX\14.5DFX_Jet     6.90e-10   1379.7   4.43e-08
024-02-G-DB\ME_EXBX\14.5DFO_Jet     1.37e-11   1379.7   4.43e-08
024-02-G-DB\ME_EXBO\14.5DFO_Jet     2.73e-09   1379.7   4.71e-08
024-02-G-DA\ME_EXBX\14.5DFX_Jet     2.07e-09   1379.7   4.91e-08
024-02-G-DA\ME_EXBX\14.5DFO_Jet     4.12e-11   1379.7   4.92e-08
024-02-G-DA\ME_EXBO\14.5DFO_Jet     8.20e-09   1379.7   5.74e-08
025-01-01-G\ME_EXBX\7.7DFX_Jet      1.77e-08   1354.0   7.51e-08
025-01-01-G\ME_EXBX\7.7DFO_Jet      3.53e-10   1354.0   7.54e-08
025-02-01-G\ME_EXBO\14.5DFO_Jet     1.90e-08   1338.9   9.44e-08
025-02-01-G\ME_EXBX\2.9FFX_Jet      3.53e-08   1325.7   1.30e-07
025-02-01-G\ME_EXBX\2.9FFO_Jet      1.05e-09   1325.7   1.31e-07
025-02-01-G\ME_EOBX\14.5DFO_Jet     3.08e-09   1211.5   1.34e-07
024-03-01-G\ME_EXBX\14.5DFX_Jet     8.99e-10   1187.7   1.35e-07
024-03-01-G\ME_EXBX\14.5DFO_Jet     2.68e-11   1187.7   1.35e-07
025-01-01-G\ME_EXBO\14.5DFO_Jet     6.55e-09   1163.7   1.41e-07
024-02-G-DC\ME_EXBX\7.7DFX_Jet      7.38e-09   1133.9   1.49e-07
024-02-G-DC\ME_EXBX\7.7DFO_Jet      1.47e-10   1133.9   1.49e-07
024-02-G-DC\ME_EXBO\7.7DFO_Jet      2.92e-08   1133.9   1.78e-07
024-02-G-DB\ME_EXBX\7.7DFX_Jet      7.38e-09   1133.9   1.85e-07
024-02-G-DB\ME_EXBX\7.7DFO_Jet      1.47e-10   1133.9   1.86e-07
024-02-G-DB\ME_EXBO\7.7DFO_Jet      2.92e-08   1133.9   2.15e-07
024-02-G-DA\ME_EXBX\7.7DFX_Jet      2.22e-08   1133.9   2.37e-07
024-02-G-DA\ME_EXBX\7.7DFO_Jet      4.41e-10   1133.9   2.37e-07
024-02-G-DA\ME_EXBO\7.7DFO_Jet      8.77e-08   1133.9   3.25e-07
025-02-01-G\ME_EXBO\7.7DFO_Jet      2.03e-07   1088.1   5.28e-07
024-03-01-G\ME_EOBX\14.5DFO_Jet     8.68e-10   1057.6   5.29e-07
025-01-01-G\ME_EXBX\2.9FFX_Jet      1.83e-08   1049.6   5.47e-07
