P05KOD No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
027-01-G-DC\ME_EXBX\14.5DFX_Jet     1.97e-09   2339.3   1.97e-09
027-01-G-DC\ME_EXBX\14.5DFO_Jet     3.91e-11   2339.3   2.01e-09
027-01-G-DB\ME_EXBX\14.5DFX_Jet     1.18e-09   2339.3   3.19e-09
027-01-G-DB\ME_EXBX\14.5DFO_Jet     2.35e-11   2339.3   3.21e-09
027-01-G-DA\ME_EXBX\14.5DFX_Jet     7.87e-10   2339.3   4.00e-09
027-01-G-DA\ME_EXBX\14.5DFO_Jet     1.57e-11   2339.3   4.01e-09
027-01-G-DC\ME_EXBX\7.7DFX_Jet      2.11e-08   2036.1   2.51e-08
027-01-G-DC\ME_EXBX\7.7DFO_Jet      4.19e-10   2036.1   2.55e-08
027-01-G-DB\ME_EXBX\7.7DFX_Jet      1.26e-08   2036.1   3.81e-08
027-01-G-DB\ME_EXBX\7.7DFO_Jet      2.51e-10   2036.1   3.84e-08
027-01-G-DA\ME_EXBX\7.7DFX_Jet      8.42e-09   2036.1   4.68e-08
027-01-G-DA\ME_EXBX\7.7DFO_Jet      1.68e-10   2036.1   4.70e-08
027-01-G-DC\ME_EXBX\2.9FFX_Jet      2.17e-08   1747.7   6.87e-08
027-01-G-DC\ME_EXBX\2.9FFO_Jet      4.32e-10   1747.7   6.91e-08
027-01-G-DB\ME_EXBX\2.9FFX_Jet      1.30e-08   1747.7   8.21e-08
027-01-G-DB\ME_EXBX\2.9FFO_Jet      2.59e-10   1747.7   8.24e-08
027-01-G-DA\ME_EXBX\2.9FFX_Jet      8.69e-09   1747.7   9.11e-08
027-01-G-DA\ME_EXBX\2.9FFO_Jet      1.73e-10   1747.7   9.13e-08
027-01-G-DC\ME_EXBO\14.5DFO_Jet     7.79e-09   1580.4   9.91e-08
027-01-G-DB\ME_EXBO\14.5DFO_Jet     4.67e-09   1580.4   1.04e-07
027-01-G-DA\ME_EXBO\14.5DFO_Jet     3.12e-09   1580.4   1.07e-07
027-02-G\ME_EXBX\14.5DFX_Jet        1.97e-09   1402.5   1.09e-07
027-02-G\ME_EXBX\14.5DFO_Jet        7.83e-11   1402.5   1.09e-07
027-01-G-DC\ME_EXBO\7.7DFO_Jet      8.34e-08   1382.6   1.92e-07
027-01-G-DB\ME_EXBO\7.7DFO_Jet      5.00e-08   1382.6   2.42e-07
027-01-G-DA\ME_EXBO\7.7DFO_Jet      3.33e-08   1382.6   2.76e-07
027-02-G\ME_EXBO\14.5DFO_Jet        1.56e-08   1202.5   2.91e-07
027-02-G\ME_EXBX\7.7DFX_Jet         2.11e-08   1195.7   3.12e-07
027-02-G\ME_EXBX\7.7DFO_Jet         8.39e-10   1195.7   3.13e-07
027-01-G-DC\ME_EXBO\2.9FFO_Jet      8.60e-08   1194.5   3.99e-07
027-01-G-DB\ME_EXBO\2.9FFO_Jet      5.16e-08   1194.5   4.51e-07
027-01-G-DA\ME_EXBO\2.9FFO_Jet      3.44e-08   1194.5   4.85e-07
027-01-G-DC\LM_EXBX\14.5DFX_Jet     1.14e-09   1182.8   4.86e-07
027-01-G-DC\LM_EXBX\14.5DFO_Jet     2.26e-11   1182.8   4.86e-07
027-01-G-DB\LM_EXBX\14.5DFX_Jet     6.82e-10   1182.8   4.87e-07
027-01-G-DB\LM_EXBX\14.5DFO_Jet     1.36e-11   1182.8   4.87e-07
027-01-G-DA\LM_EXBX\14.5DFX_Jet     4.55e-10   1182.8   4.87e-07
027-01-G-DA\LM_EXBX\14.5DFO_Jet     9.05e-12   1182.8   4.87e-07
027-01-G-DC\ME_EOBX\14.5DFO_Jet     1.92e-09   1179.8   4.89e-07
027-01-G-DB\ME_EOBX\14.5DFO_Jet     1.15e-09   1179.8   4.91e-07
027-01-G-DA\ME_EOBX\14.5DFO_Jet     7.67e-10   1179.8   4.91e-07
027-01-G-DC\LM_EXBX\7.7DFX_Jet      1.22e-08   1059.7   5.03e-07
027-01-G-DC\LM_EXBX\7.7DFO_Jet      2.42e-10   1059.7   5.04e-07
027-01-G-DB\LM_EXBX\7.7DFX_Jet      7.30e-09   1059.7   5.11e-07
027-01-G-DB\LM_EXBX\7.7DFO_Jet      1.45e-10   1059.7   5.11e-07
027-01-G-DA\LM_EXBX\7.7DFX_Jet      4.87e-09   1059.7   5.16e-07
027-01-G-DA\LM_EXBX\7.7DFO_Jet      9.69e-11   1059.7   5.16e-07
027-01-G-DC\ME_EOBX\7.7DFO_Jet      2.05e-08   1036.2   5.37e-07
027-01-G-DB\ME_EOBX\7.7DFO_Jet      1.23e-08   1036.2   5.49e-07
027-01-G-DA\ME_EOBX\7.7DFO_Jet      8.21e-09   1036.2   5.57e-07
027-02-G\ME_EXBX\2.9FFX_Jet         2.17e-08   1032.1   5.79e-07
027-02-G\ME_EXBX\2.9FFO_Jet         8.65e-10   1032.1   5.80e-07
027-01-G-DC\LM_EXBO\14.5DFO_Jet     4.50e-09   1031.5   5.84e-07
027-01-G-DB\LM_EXBO\14.5DFO_Jet     2.70e-09   1031.5   5.87e-07
027-01-G-DA\LM_EXBO\14.5DFO_Jet     1.80e-09   1031.5   5.89e-07
027-02-G\ME_EXBO\7.7DFO_Jet         1.67e-07   1028.7   7.56e-07
027-01-G-DC\LM_EXBX\2.9FFX_Jet      1.26e-08    971.6   7.68e-07
