S03P02 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
024-01-01-G\ME_EXBX\14.5DFX_Jet     2.78e-09   3056.7   2.78e-09
024-01-01-G\ME_EXBX\14.5DFO_Jet     1.11e-10   3056.7   2.89e-09
024-01-01-G\ME_EXBX\7.7DFX_Jet      2.97e-08   2496.6   3.26e-08
024-01-01-G\ME_EXBX\7.7DFO_Jet      1.18e-09   2496.6   3.38e-08
023-03-01-G-DC\LM_EXBX\14.5DFX_Jet  2.29e-09   2413.1   3.61e-08
023-03-01-G-DC\LM_EXBX\14.5DFO_Jet  4.36e-12   2413.1   3.61e-08
023-03-01-G-DB\LM_EXBX\14.5DFX_Jet  2.29e-09   2413.1   3.84e-08
023-03-01-G-DB\LM_EXBX\14.5DFO_Jet  4.36e-12   2413.1   3.84e-08
023-03-01-G-DA\LM_EXBX\14.5DFX_Jet  6.88e-09   2413.1   4.53e-08
023-03-01-G-DA\LM_EXBX\14.5DFO_Jet  1.31e-11   2413.1   4.53e-08
024-01-01-G\ME_EXBO\14.5DFO_Jet     2.20e-08   2251.5   6.73e-08
023-03-01-G-DC\LM_EXBX\7.7DFX_Jet   2.45e-08   2034.3   9.18e-08
023-03-01-G-DC\LM_EXBX\7.7DFO_Jet   4.66e-11   2034.3   9.19e-08
023-03-01-G-DB\LM_EXBX\7.7DFX_Jet   2.45e-08   2034.3   1.16e-07
023-03-01-G-DB\LM_EXBX\7.7DFO_Jet   4.66e-11   2034.3   1.16e-07
023-03-01-G-DA\LM_EXBX\7.7DFX_Jet   7.36e-08   2034.3   1.90e-07
023-03-01-G-DA\LM_EXBX\7.7DFO_Jet   1.40e-10   2034.3   1.90e-07
024-01-01-G\ME_EXBX\2.9FFX_Jet      3.07e-08   2011.0   2.21e-07
024-01-01-G\ME_EXBX\2.9FFO_Jet      1.22e-09   2011.0   2.22e-07
024-01-01-G\ME_EXBO\7.7DFO_Jet      2.36e-07   1846.9   4.58e-07
024-01-01-G\ME_EXBO\2.9FFO_Jet      2.43e-07   1495.9   7.01e-07
023-03-01-G-DC\LM_EXBX\2.9FFX_Jet   2.53e-08   1404.6   7.26e-07
023-03-01-G-DC\LM_EXBX\2.9FFO_Jet   4.81e-11   1404.6   7.26e-07
023-03-01-G-DB\LM_EXBX\2.9FFX_Jet   2.53e-08   1404.6   7.51e-07
023-03-01-G-DB\LM_EXBX\2.9FFO_Jet   4.81e-11   1404.6   7.51e-07
023-03-01-G-DA\LM_EXBX\2.9FFX_Jet   7.60e-08   1404.6   8.27e-07
023-03-01-G-DA\LM_EXBX\2.9FFO_Jet   1.44e-10   1404.6   8.28e-07
024-01-01-G\ME_EOBX\14.5DFO_Jet     2.65e-09   1148.5   8.30e-07
