S05S04 No dimensioning scenario     Mod  (Freq. ) - Jet Duration  CumFreq
020-01-02-L\SM_EXBN\2.9FFX_Jet      1.40e-08   3600.0   1.40e-08
020-01-02-L\SM_EXBN\2.9FFO_Jet      2.67e-09   3600.0   1.67e-08
020-01-02-L\SM_EOBN\2.9FFO_Jet      2.64e-07   3600.0   2.81e-07
020-01-01-G\ME_EXBX\14.5DFX_Jet     1.52e-09   3600.0   2.82e-07
020-01-01-G\ME_EXBX\14.5DFO_Jet     1.51e-11   3600.0   2.82e-07
020-01-01-G\ME_EXBX\7.7DFX_Jet      1.63e-08   3600.0   2.98e-07
020-01-01-G\ME_EXBX\7.7DFO_Jet      1.62e-10   3600.0   2.99e-07
020-01-01-G\ME_EXBX\2.9FFX_Jet      1.68e-08   3600.0   3.15e-07
020-01-01-G\ME_EXBX\2.9FFO_Jet      1.67e-10   3600.0   3.16e-07
020-01-01-G\ME_EOBX\14.5DFO_Jet     1.50e-09   3259.0   3.17e-07
013-01-C1-G\ME_EXBX\14.5DFX_Jet     1.45e-09   3241.6   3.18e-07
013-01-C1-G\ME_EXBX\14.5DFO_Jet     1.44e-11   3241.6   3.18e-07
013-01-C2-G\ME_EXBX\14.5DFX_Jet     1.56e-09   3236.5   3.20e-07
013-01-C2-G\ME_EXBX\14.5DFO_Jet     1.55e-11   3236.5   3.20e-07
013-01-N2-G\ME_EXBX\14.5DFX_Jet     1.42e-09   3230.5   3.21e-07
013-01-N2-G\ME_EXBX\14.5DFO_Jet     1.41e-11   3230.5   3.21e-07
013-01-N1-G\ME_EXBX\14.5DFX_Jet     1.60e-09   3171.5   3.23e-07
013-01-N1-G\ME_EXBX\14.5DFO_Jet     1.59e-11   3171.5   3.23e-07
013-01-C1-G\ME_EXBO\14.5DFO_Jet     2.86e-09   2879.1   3.26e-07
013-01-C2-G\ME_EXBO\14.5DFO_Jet     3.08e-09   2874.6   3.29e-07
013-01-N2-G\ME_EXBO\14.5DFO_Jet     2.81e-09   2869.3   3.32e-07
020-01-01-G\ME_EOBX\7.7DFO_Jet      1.60e-08   2869.3   3.48e-07
013-01-C1-G\ME_EXBX\7.7DFX_Jet      1.55e-08   2861.6   3.63e-07
013-01-C1-G\ME_EXBX\7.7DFO_Jet      1.54e-10   2861.6   3.64e-07
013-01-C2-G\ME_EXBX\7.7DFX_Jet      1.66e-08   2852.1   3.80e-07
013-01-C2-G\ME_EXBX\7.7DFO_Jet      1.66e-10   2852.1   3.80e-07
013-01-N2-G\ME_EXBX\7.7DFX_Jet      1.52e-08   2845.2   3.96e-07
013-01-N2-G\ME_EXBX\7.7DFO_Jet      1.51e-10   2845.2   3.96e-07
013-01-N1-G\ME_EXBO\14.5DFO_Jet     3.17e-09   2817.6   3.99e-07
013-01-N1-G\ME_EXBX\7.7DFX_Jet      1.71e-08   2787.0   4.16e-07
013-01-N1-G\ME_EXBX\7.7DFO_Jet      1.70e-10   2787.0   4.16e-07
013-01-C1-G\ME_EXBO\7.7DFO_Jet      3.06e-08   2544.3   4.47e-07
013-01-C2-G\ME_EXBO\7.7DFO_Jet      3.30e-08   2535.6   4.80e-07
013-01-N2-G\ME_EXBO\7.7DFO_Jet      3.01e-08   2529.3   5.10e-07
020-01-01-G\ME_EOBX\2.9FFO_Jet      1.66e-08   2527.0   5.26e-07
013-01-C1-G\ME_EXBX\2.9FFX_Jet      1.60e-08   2524.4   5.42e-07
013-01-C1-G\ME_EXBX\2.9FFO_Jet      1.59e-10   2524.4   5.43e-07
013-01-C2-G\ME_EXBX\2.9FFX_Jet      1.72e-08   2514.6   5.60e-07
013-01-C2-G\ME_EXBX\2.9FFO_Jet      1.71e-10   2514.6   5.60e-07
013-01-N2-G\ME_EXBX\2.9FFX_Jet      1.57e-08   2508.1   5.76e-07
013-01-N2-G\ME_EXBX\2.9FFO_Jet      1.56e-10   2508.1   5.76e-07
013-01-C2-G\LM_EXBX\14.5DFX_Jet     9.87e-10   2484.4   5.77e-07
013-01-C2-G\LM_EXBX\14.5DFO_Jet     9.82e-12   2484.4   5.77e-07
013-01-N1-G\ME_EXBO\7.7DFO_Jet      3.39e-08   2477.9   6.11e-07
013-01-N1-G\ME_EXBX\2.9FFX_Jet      1.77e-08   2459.0   6.28e-07
013-01-N1-G\ME_EXBX\2.9FFO_Jet      1.76e-10   2459.0   6.28e-07
013-01-C2-G\LM_EXBO\14.5DFO_Jet     1.96e-09   2291.2   6.30e-07
013-01-N2-G\LM_EXBX\14.5DFX_Jet     8.79e-10   2271.2   6.31e-07
013-01-N2-G\LM_EXBX\14.5DFO_Jet     8.74e-12   2271.2   6.31e-07
013-01-C1-G\ME_EXBO\2.9FFO_Jet      3.16e-08   2246.4   6.63e-07
013-01-C2-G\ME_EXBO\2.9FFO_Jet      3.40e-08   2237.8   6.97e-07
020-01-01-G\ME_EXBO\14.5DFO_Jet     3.01e-09   2232.7   7.00e-07
